Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[godot_ai game_helper] registered mcp capture (debugger active=false, logger=true)
[BoomRoomDiag] yaw=108.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=110.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=112.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=114.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=116.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=118.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=120.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=122.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=124.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=126.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=128.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=130.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=132.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=134.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=136.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=138.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=140.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=142.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=144.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=146.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=148.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=150.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=152.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=154.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=156.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=158.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=160.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=162.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=164.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=166.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=168.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=170.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=172.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=174.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=176.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=178.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=180.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=182.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=184.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=186.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=188.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=190.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=192.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=194.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=196.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=198.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=200.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=202.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=204.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=206.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=208.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=210.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=212.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=214.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=216.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=218.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=220.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=222.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=224.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=226.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=228.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=230.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=232.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=234.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=236.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=238.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=240.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=242.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=244.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=246.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=248.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=250.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=252.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=254.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=256.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=258.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=260.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=262.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=264.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=266.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=268.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=270.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=272.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=274.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=276.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=278.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=280.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=282.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=284.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=286.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=288.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=290.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=292.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=294.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=296.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=298.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=300.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=302.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=304.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=306.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=308.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=310.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=312.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=314.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=316.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=318.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=320.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=322.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=324.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=326.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=328.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=330.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=332.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=334.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=336.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=338.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=340.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=342.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
